NK_BABKnoten,NK_Name,NK_Knotenpunktfunktion,NK_GeoStrKls,lon,lat,Autobahn_only,Autobahn_all,Bundesstrasse_all,Rest_all
N, , ,-BS---,13.446062955016199,51.40973960366725,0,0,1,0
N, , ,-B----,13.428704692298586,51.40204879379385,0,0,1,0
N, , ,-B----,13.453069330711312,51.4162138712061,0,0,1,0
N,"B169/L62 : EE Elsterwerda, Stadt", ,-BL---,13.542294303799228,51.46983729895411,0,0,1,0
N,B169/K6208 : EE Kahla, ,-B----,13.56650211819789,51.47032934841733,0,0,1,0
N,"B101/B169 : EE Elsterwerda, Stadt", ,-B----,13.529150596142669,51.46476688939669,0,0,1,0
N,B169/L591/L621 : EE Plessa, ,-BL---,13.61950252599204,51.46395586045146,0,0,1,0
N,"B101/K6206 : EE Elsterwerda, Stadt", ,-B----,13.516251112952967,51.44774724757769,0,0,1,0
N,"B101/K6204 : EE Elsterwerda, Stadt", ,-B----,13.528356138196024,51.45063470972756,0,0,1,0
N,(BB/SN),Landesgrenze,-B----,13.499716022407927,51.40370223851049,0,0,1,0
N,B101/B169 : EE Prösen, ,-B----,13.505157588926082,51.43166564464985,0,0,1,0
N,"B169/L63 : OSL Lauchhammer, Stadt", ,-B----,13.712735999566604,51.466515942527714,0,0,1,0
N,"B169/L63/K6607 : OSL Lauchhammer, Stadt", ,-BL---,13.740110723120255,51.464709425910655,0,0,1,0
N,B169/K6608 : OSL Schwarzheide, ,-B----,13.800343732902345,51.46865581345822,0,0,1,0
J,Ruhland,Anschlussstelle,AB----,13.861462417864765,51.46710636292568,0,1,1,0
N,"B169/L55 : OSL Schwarzheide, Stadt", ,-BL---,13.867996105744462,51.46536981282171,0,0,1,0
J,Schwarzheide,Anschlussstelle,A-L---,13.890427420892284,51.49031944853036,0,1,0,0
N,B96/K6601 : OSL Großkoschen, ,-B----,14.069005912691106,51.492956611917606,0,0,1,0
N,(BB/SN),Landesgrenze,-B----,14.067809927040773,51.472981813380144,0,0,1,0
N, , ,-B----,14.119368996433195,51.44570997886581,0,0,1,0
N, , ,-B----,14.11652420369362,51.45531332523989,0,0,1,0
N, , ,-BS---,14.069082845379404,51.46481670190383,0,0,1,0
N, , ,-BS---,14.133152581071418,51.443599430007595,0,0,1,0
N, , ,-BS---,14.14319445568238,51.407373544617236,0,0,1,0
N,KV, ,-BS---,14.242963486887202,51.445224029943304,0,0,1,0
N, , ,-B----,14.207141459479947,51.456181467359684,0,0,1,0
N, , ,-B----,14.295706054972726,51.399798738537186,0,0,1,0
N, , ,-B----,14.29119017823429,51.406758805095876,0,0,1,0
N,Hoyerswerda, ,-BS---,14.24892900094098,51.43495794076914,0,0,1,0
N,Hoyerswerda, ,-B----,14.25071625834395,51.44232895191943,0,0,1,0
N,Hoyerswerda, ,-B----,14.227881565120128,51.4244969471068,0,0,1,0
N, , ,-B----,14.270834393698387,51.45784906761931,0,0,1,0
N,KV, ,-B----,14.297668543596101,51.462057194262364,0,0,1,0
N, , ,-BS---,14.297991233352082,51.44188088871061,0,0,1,0
N, , ,-BS---,14.352294001648568,51.49133794644928,0,0,1,0
N, , ,-B----,14.33376875891323,51.46386822478226,0,0,1,0
N, , ,-BS---,14.661803118060462,51.478631191704004,0,0,1,0
N, , ,-B----,14.555687415344885,51.40892661297798,0,0,1,0
N, , ,-BS---,14.582097327566109,51.41242152112988,0,0,1,0
N, , ,-B----,14.605508924026555,51.42281099483988,0,0,1,0
N, , ,-B----,14.588883088747341,51.41470678989289,0,0,1,0
N, , ,-B----,14.5305501796816,51.402521528187265,0,0,1,0
N, , ,-B----,14.783599464943748,51.43782557200458,0,0,1,0
N, , ,-BL---,6.211692847156831,51.30671102003738,0,0,1,0
J,Kaldenkirchen-Süd,Anschlussstelle,AB----,6.22516900337726,51.3128349480653,0,1,1,0
N, , ,-B----,6.219198335058654,51.336072914838354,0,0,1,0
N, , ,-BL---,6.228150362977525,51.34014306351816,0,0,1,0
J,NL/DE Straelen,Bundesgrenze,A-----,6.216380005276746,51.384025946990064,1,0,0,0
N, , ,-BL---,6.267421002807684,51.389327942700426,0,0,1,0
J,Kaldenkirchen,Anschlussstelle,AB-K--,6.211713765496539,51.32969274340037,0,1,1,0
J,Wankum,Anschlussstelle,A-L---,6.3014190045063625,51.389599942443425,0,1,0,0
N, , ,-BL---,6.294447656624193,51.300417708377886,0,0,1,0
N, , ,-B----,6.295578593953773,51.30960247562068,0,0,1,0
N, , ,-BL---,6.293819109494797,51.31136553812567,0,0,1,0
J,Straelen,Anschlussstelle,AB----,6.267292007342435,51.387660950414414,0,1,1,0
J,Niederdorf,Anschlussstelle,A-L---,6.24263900350412,51.38011469291037,0,1,0,0
J,NL/DE Grenzwald,Bundesgrenze,A-----,6.169725872029701,51.332985295623686,1,0,0,0
J,Nettetal-West,Anschlussstelle,A-----,6.195390755864287,51.334358420263854,1,0,0,0
N, , ,-B----,6.469249251056745,51.36336017467136,0,0,1,0
J,Wachtendonk,Anschlussstelle,A-L---,6.365423009835973,51.39610594333345,0,1,0,0
N, , ,-B----,6.489653006538507,51.380936943985574,0,0,1,0
N, , ,-B----,6.494478316337303,51.36804839772199,0,0,1,0
N, , ,-BL---,6.369469910895455,51.33878986735391,0,0,1,0
N, , ,-B----,6.357425428510404,51.33574224379329,0,0,1,0
N, , ,-BL---,6.444211614222522,51.363975514115886,0,0,1,0
N, , ,-B----,6.441432812726665,51.35887206732457,0,0,1,0
N, , ,-BL---,6.436871634243162,51.35546681654751,0,0,1,0
N, , ,-BL---,6.426474369495742,51.34993456422925,0,0,1,0
N, , ,-BL---,6.414321775378499,51.346496896393994,0,0,1,0
N, , ,-BL---,6.336909494466805,51.32742362123696,0,0,1,0
N,Krefeld, ,-B----,6.554068002982193,51.31086294420366,0,0,1,0
N,Krefeld, ,-BL---,6.563862806147328,51.32282393065094,0,0,1,0
N,Krefeld, ,-BL---,6.548736002726411,51.331243948524445,0,0,1,0
N,Krefeld, ,-BL---,6.550589003659723,51.33502394921034,0,0,1,0
N,Krefeld, ,-BL---,6.602090285158344,51.33617985815211,0,0,1,0
N,Krefeld, ,-BL---,6.608421007878369,51.33830994365659,0,0,1,0
N,Krefeld, ,-B----,6.617357003891931,51.3412609418894,0,0,1,0
N,Krefeld, ,-B----,6.634447995384876,51.34638694851032,0,0,1,0
N,Krefeld, ,-B----,6.649372707636898,51.34693257395927,0,0,1,0
N,Krefeld, ,-B----,6.593342998324165,51.334274945004886,0,0,1,0
J,Moers-Kapellen,Anschlussstelle,A-L---,6.603729004404096,51.39706694347155,0,1,0,0
J,Krefeld-Gartenstadt,Anschlussstelle,A-L---,6.625408008005302,51.3699839435566,0,1,0,0
J,Krefeld-Zentrum,Anschlussstelle,AB----,6.624337007980173,51.343763948203225,0,1,1,0
N,Krefeld, ,-BL---,6.649427001921798,51.34824595028474,0,0,1,0
N, , ,-BL---,6.503103999180446,51.360134950397246,0,0,1,0
N,Krefeld, ,-B----,6.523361998354539,51.34817894982957,0,0,1,0
N,Krefeld, ,-B----,6.557060006452069,51.3120814466345,0,0,1,0
N,Krefeld, ,-BL---,6.586761995574645,51.33340294302113,0,0,1,0
N,Krefeld, ,-BL---,6.558336880296752,51.342852547928906,0,0,1,0
N,Krefeld, ,-B----,6.540090765525461,51.30426546477634,0,0,1,0
N,Krefeld, ,-BL---,6.6554000061937995,51.345224658673295,0,0,1,0
N,Krefeld, ,-B----,6.652705669209587,51.34703585291086,0,0,1,0
J,Krefeld-Oppum,Anschlussstelle,A-----,6.6300750039789875,51.3256449455687,1,0,0,0
N, , ,-BL---,6.530962997365483,51.299008947087586,0,0,1,0
J,Tiefenbroich,Anschlussstelle,A-L---,6.830033829442667,51.32318872283313,0,1,0,0
N, , ,-B----,6.744100007548395,51.35223994835355,0,0,1,0
N,Duisburg, ,-BL---,6.688013030946735,51.35823453732971,0,0,1,0
J,Duisburg-Rahm,Anschlussstelle,A-L---,6.784452003335156,51.3526809444924,0,1,0,0
J,Duisburg-Buchholz,Anschlussstelle,A-L---,6.7744130010290515,51.383412941813965,0,1,0,0
J,Ratingen,Anschlussstelle,A-L---,6.807595895970811,51.29985279894272,0,1,0,0
J,Lintorf,Anschlussstelle,A-----,6.821234995716187,51.349888943484444,1,0,0,0
J,Duisburg-Großenbaum,Anschlussstelle,A-L---,6.773461998929193,51.37087995010952,0,1,0,0
N, , ,-BL---,6.774657906636488,51.306649247914315,0,0,1,0
N, , ,-BL---,6.764641306109435,51.318509645129176,0,0,1,0
N, , ,-B----,6.752139337246234,51.338460883631186,0,0,1,0
N,Düsseldorf, ,-B----,6.743591548107321,51.318525283465874,0,0,1,0
N, , ,-B----,6.749116073576314,51.33828053639036,0,0,1,0
J,Kreuz Duisburg-Süd,Anschlussstelle,A-----,6.758225073449599,51.353293456278244,1,0,0,0
N, , ,-B----,6.7524739918509535,51.338472506195835,0,0,1,0
